GEO.id2,HC01_VC04,HC01_VC05,HC01_VC06,HC01_VC07,HC01_VC08,HC01_VC09,HC01_VC10,HC01_VC11,HC01_VC12,HC01_VC13,HC01_VC14,HC01_VC17,HC01_VC18,HC01_VC21,HC01_VC22,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC101,HC01_VC141,HC01_VC142,HC01_VC149,HC01_VC150,HC01_VC151,HC01_VC154,HC01_VC155,HC01_VC156,HC01_VC161,HC01_VC162,HC01_VC163,HC01_VC164,HC01_VC165,HC01_VC166,HC01_VC172,HC01_VC173,HC01_VC174,HC01_VC175,HC01_VC176,HC01_VC177,HC01_VC178,HC01_VC179,HC01_VC180,HC01_VC181,HC01_VC187,HC01_VC188,HC01_VC189,HC01_VC190,HC01_VC191,HC01_VC192,HC01_VC193,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC197,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209,HC01_VC210,HC01_VC211,HC01_VC212,TotalDrugReports
21001,4948,1766,3993,1300,259,117,696,349,2293,2146,1006,1979,2173,2.44,3.0,9,5,60,34,103,29,1378,50,122,68,0,68,172,13,159,55,37,0,0,59,21,359,169,248,157,55,12,5,0,51,0,9,0,12,103,4793,259,27,1401,0,79,1754,243,30,20,64,0,4,217,158,0,70,67,10,0,14,5,17.0
21003,5629,2282,4359,1577,374,189,896,516,2432,2157,871,2624,2192,2.46,2.97,48,26,43,47,94,0,1508,50,232,454,0,454,282,14,268,0,90,0,11,105,76,991,356,230,115,716,208,45,33,0,0,8,24,17,367,1969,222,40,2634,144,54,2350,182,0,13,132,0,0,269,362,23,0,29,94,0,31,0,23.0
21005,6032,2766,4651,1926,363,243,1018,597,2291,1892,845,3107,2012,2.58,3.02,83,32,60,25,119,24,1504,197,112,151,86,65,309,0,309,98,40,0,0,171,0,550,237,292,199,185,32,67,6,6,0,0,7,151,301,2779,461,37,2999,22,42,3671,430,0,31,219,0,33,542,588,0,29,46,19,173,123,46,25.0
21007,2265,777,1936,611,99,46,230,120,1062,958,437,978,1044,2.46,2.97,22,31,76,24,153,39,739,54,26,15,0,15,80,10,70,47,8,0,0,23,2,139,7,86,2,43,3,10,2,0,0,15,2,4,123,759,154,2,1130,26,0,1251,105,3,5,43,0,12,111,101,0,2,29,0,0,52,0,2.0
21009,11733,5138,9003,3532,679,330,2051,1276,4851,4479,2186,5717,4601,2.51,3.04,287,69,59,109,104,11,2483,179,501,104,5,99,680,108,572,49,175,4,0,373,79,1333,408,794,196,402,152,137,60,0,0,17,36,91,590,5393,492,163,4481,0,7,3759,581,0,71,246,39,1,611,1227,28,55,143,0,0,254,12,63.0
21011,3072,1324,2367,867,190,131,515,326,1375,1156,468,1600,1177,2.61,3.16,113,86,76,110,140,16,586,27,61,25,0,25,88,0,88,4,0,0,0,84,0,142,42,124,42,18,0,0,0,0,0,2,0,0,186,1497,91,2,972,35,0,1635,41,0,46,91,0,5,141,290,0,36,104,16,0,78,0,38.0
21013,7549,2927,5073,1713,712,323,1764,891,3560,3201,1438,3595,3330,2.46,3.02,169,50,58,97,89,21,1668,71,21,146,0,146,92,0,92,19,58,0,0,15,0,240,78,99,17,51,37,90,24,0,0,43,0,6,214,1657,286,0,1217,32,16,2061,232,0,86,102,0,0,317,217,0,35,53,9,0,43,9,144.0
21015,32123,16103,25311,12248,2135,1230,4677,2625,11132,9279,2746,17345,8686,2.78,3.27,530,42,62,26,125,22,8606,2237,3221,907,65,842,5458,451,5007,715,2631,566,0,1358,188,7112,3209,2908,1124,1481,511,2097,1435,626,139,245,199,175,1331,14548,2780,306,38856,148,426,20116,4368,113,702,2053,182,261,1653,2923,79,628,806,124,211,908,60,299.0
21017,5407,2312,3934,1552,290,85,1183,675,2458,2125,899,2595,2223,2.51,3.03,129,57,56,80,120,6,1585,181,850,92,0,92,1031,0,1031,138,18,0,5,856,14,1182,625,1071,611,99,14,12,0,0,0,16,27,43,315,1928,391,63,2174,0,53,2642,368,3,97,198,9,13,303,311,0,12,84,72,27,48,0,53.0
21019,13232,5143,10004,3553,996,391,2232,1199,6298,5541,2537,6083,5917,2.41,2.92,190,38,46,32,88,16,4336,357,211,180,0,180,568,21,547,199,123,26,0,188,32,952,320,519,224,293,65,83,31,57,0,127,0,20,616,5634,710,69,6729,41,88,9573,867,15,45,113,119,197,902,1127,14,135,113,31,23,508,104,237.0
21021,7472,3073,5327,1803,467,233,1678,1037,3628,3190,1222,3336,3260,2.38,2.89,89,26,53,21,108,19,2087,321,410,134,0,134,731,37,694,59,191,4,8,451,18,1092,382,800,323,161,11,88,44,43,4,37,36,49,272,3835,626,28,3920,46,18,4056,597,8,107,236,20,24,770,660,15,115,176,121,6,373,9,64.0
21023,2164,866,1687,604,97,36,380,226,1088,968,466,1049,946,2.59,3.26,61,67,72,0,157,25,571,5,72,5,0,5,77,0,77,5,0,0,0,72,0,109,80,96,72,13,8,0,0,0,0,38,23,9,209,879,81,4,1826,39,79,1171,211,0,0,90,0,11,74,114,0,0,1,0,0,20,0,20.0
21025,3432,1203,2291,708,290,71,851,424,1858,1692,742,1486,1435,2.52,3.16,76,43,33,29,80,0,566,28,71,41,0,41,99,5,94,6,34,0,0,59,0,226,139,154,112,43,11,17,16,12,0,0,9,0,34,1490,82,13,880,0,0,974,119,0,10,3,0,6,180,92,7,12,9,7,0,16,0,83.0
21027,5178,1793,4159,1337,312,190,707,266,2035,1760,808,2120,2285,2.74,3.29,62,29,47,11,120,7,1707,46,42,90,0,90,88,0,88,24,18,0,0,31,15,520,187,187,101,325,86,8,0,0,0,0,0,4,329,2698,648,71,3170,7,21,2892,303,0,21,171,9,78,273,344,161,3,60,149,0,22,0,6.0
