GEO.id2,HC01_VC04,HC01_VC06,HC01_VC07,HC01_VC08,HC01_VC09,HC01_VC10,HC01_VC11,HC01_VC12,HC01_VC13,HC01_VC14,HC01_VC15,HC01_VC17,HC01_VC18,HC01_VC20,HC01_VC21,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC99,HC01_VC139,HC01_VC140,HC01_VC146,HC01_VC147,HC01_VC148,HC01_VC150,HC01_VC151,HC01_VC152,HC01_VC157,HC01_VC158,HC01_VC159,HC01_VC160,HC01_VC161,HC01_VC162,HC01_VC168,HC01_VC170,HC01_VC171,HC01_VC172,HC01_VC173,HC01_VC174,HC01_VC175,HC01_VC176,HC01_VC177,HC01_VC178,HC01_VC184,HC01_VC185,HC01_VC186,HC01_VC187,HC01_VC188,HC01_VC189,HC01_VC190,HC01_VC191,HC01_VC192,HC01_VC193,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC197,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209
21001,4837,1634,3901,1166,338,133,598,335,2399,2205,970,1883,2215,2.44,3.03,0,0,45,21,85,20,1360,52,136,52,0,52,188,0,188,78,35,0,0,49,26,424,266,228,142,140,105,19,19,37,0,0,0,11,167,4427,319,29,1380,0,75,1810,337,35,38,108,0,0,252,147,0,71,93,6,0,14,9
21003,5550,2208,4154,1510,394,171,1002,527,2430,2175,854,2570,2168,2.47,3.01,113,58,68,96,130,8,1576,48,221,559,0,559,269,0,269,12,76,0,10,95,76,1026,307,294,95,689,180,43,32,0,0,8,13,20,243,1963,204,40,2400,68,32,2526,319,0,21,152,44,0,353,268,22,0,37,60,0,27,0
21005,5783,2658,4499,1837,354,270,930,551,2586,2034,836,3025,1916,2.55,3.04,34,13,50,20,109,14,1579,181,102,108,59,49,283,0,283,73,53,0,12,145,0,611,270,391,229,147,32,73,9,0,0,12,6,146,239,2356,507,71,2734,9,48,3651,433,0,15,219,0,74,556,454,0,32,95,16,167,125,0
21007,2342,863,1944,641,149,97,249,125,1037,870,415,1061,1015,2.41,2.83,40,52,90,36,190,40,755,58,36,17,0,17,94,3,91,44,23,0,0,25,2,178,21,110,2,49,5,19,14,0,0,17,0,6,156,783,262,10,1117,22,0,1342,118,3,27,44,11,9,127,116,4,1,31,0,0,32,0
21009,11850,5100,9158,3634,626,284,2066,1182,4998,4545,2094,5804,4652,2.46,2.98,287,70,50,84,91,9,2583,249,332,38,0,38,581,98,483,44,167,3,0,273,94,1199,278,784,127,311,115,104,36,0,0,0,32,0,576,5366,465,181,4313,0,9,3620,566,11,35,182,27,1,669,1196,26,49,103,21,0,170,16
21011,2943,1303,2236,814,144,78,563,411,1478,1271,493,1532,1141,2.61,3.25,118,86,76,61,161,15,624,16,57,11,0,11,73,0,73,4,0,0,0,69,0,135,14,116,14,19,0,0,0,0,0,2,0,0,249,1585,84,0,934,34,0,1923,49,0,66,86,0,0,155,211,0,47,26,19,0,37,0
21013,7603,2900,5198,1737,644,287,1761,876,3278,3006,1379,3534,3221,2.54,3.04,175,53,69,92,113,27,1725,57,35,117,0,117,92,0,92,15,50,0,0,27,0,246,93,136,34,58,39,52,20,0,0,58,0,6,234,2000,365,0,1279,68,36,2120,209,0,70,84,0,0,277,253,0,38,54,6,0,64,8
21015,31432,16102,25338,12527,1969,1121,4125,2454,11185,9136,2690,17358,8207,2.78,3.28,522,42,59,29,115,24,8550,2105,3450,1261,0,1261,5555,337,5218,880,2542,541,0,1349,243,6806,3071,2698,1111,1570,471,1761,1222,777,267,224,196,145,1473,14363,2498,373,40083,147,451,20268,4552,62,666,1982,119,257,1862,3315,144,755,714,132,245,859,0
21017,5511,2468,3994,1642,228,86,1289,740,2460,2163,944,2753,2210,2.47,2.99,182,78,70,51,174,8,1516,148,856,122,0,122,1004,0,1004,103,52,0,6,828,15,1210,612,1021,585,130,27,59,0,0,0,19,24,26,127,2251,347,46,2272,0,57,2650,356,2,117,202,0,13,394,364,0,15,87,97,24,54,0
21019,13181,5029,9787,3351,980,437,2414,1241,6427,5760,2625,6087,5953,2.4,2.93,245,46,54,29,109,19,4537,374,212,215,0,215,586,6,580,196,143,33,0,187,27,1084,410,590,313,346,68,87,29,61,0,159,0,24,684,5653,613,67,6748,41,62,8929,1011,24,51,205,84,234,934,1100,25,98,124,25,20,312,126
